Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 26] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 30] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 27] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 39] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 32] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 29] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 28] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 35] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 38] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 31] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 32] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 43] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 40] [device=0]
  0.0         24.6         24.6         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 31] [device=0]
  0.0         24.5         24.5         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 25] [device=0]
  0.0         24.5         24.5         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 33] [device=0]
  0.0         24.5         24.5         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [send buf 37] [device=0]
  0.0         24.5         24.5         960           0         26 Kokkos::parallel_for Kokkos::View::initialization [recv buf 44] [device=0]
  0.0         24.0         24.0          20           0       1199 Kokkos::parallel_for WeightedSumData [device=33554432]
  0.0         16.0         16.0           1           0      15996 MPI_File_open()
  0.0         15.5         15.5          10           0       1552 Kokkos::parallel_for FluxDivergenceMesh [device=33554432]
  0.0         11.2         11.2           1           1      11239 MPI_File_read()
  0.0         9.52         9.52         448           0         21 Kokkos::parallel_for FillSameRankCoarseToFineAMR [device=33554432]
  0.0         3.11         3.11           2           0       1554 pthread_join
  0.0         1.98         2.38          12          27        198 UpdateMeshBlockTree
  0.0         1.04         1.04           3           0        348 Kokkos::parallel_for Kokkos::View::destruction [MeshData::PackVariables::packs_mirror] [device=0]
  0.0        0.381        0.381           1           0        381 MPI_File_close()
  0.0        0.376        0.376          24           0         16 MPI_Allgather() 
  0.0        0.173        0.173          21           0          8 MPI_Allreduce() 
  0.0        0.155        0.155           3           0         52 Kokkos::parallel_for Kokkos::View::initialization [MeshData::PackVariables::packs] [device=0]
  0.0        0.137        0.137           3           0         46 Kokkos::parallel_for Kokkos::View::initialization [MeshData::PackVariables::coords] [device=0]
  0.0        0.133        0.133           4           0         33 pthread_create
  0.0        0.117        0.117           3           0         39 Kokkos::parallel_for Kokkos::View::destruction [MeshData::PackVariables::packs] [device=0]
  0.0        0.115        0.115          12           0         10 MakeOutputs
  0.0        0.090        0.090           3           0         30 Kokkos::parallel_for Kokkos::View::destruction [MeshData::PackVariables::coords] [device=0]
  0.0        0.068        0.068           3           0         23 Kokkos::parallel_for Kokkos::View::initialization [MeshData::PackVariables::packs_mirror] [device=0]
  0.0        0.055        0.055           3           0         18 Kokkos::parallel_for Kokkos::View::initialization [MeshData::PackVariables::coords_mirror] [device=0]
  0.0        0.041        0.041           3           0         14 Kokkos::parallel_for Kokkos::View::destruction [MeshData::PackVariables::coords_mirror] [device=0]
  0.0        0.034        0.034           1           0         34 Step1: Construct new list
  0.0        0.032        0.032           2           0         16 CalculateLoadBalance
  0.0        0.026        0.026           3           0          9 MPI_Allgatherv() 
  0.0        0.015        0.015           1           0         15 Step 3: Count blocks
  0.0        0.015        0.015           1           0         15 Step 8: Recv data and unpack
  0.0        0.012        0.012           2           0          6 MPI_Bcast() 
  0.0        0.011        0.011           1           0         11 Step 4: Calc buffer sizes
  0.0        0.010        0.010           1           0         10 Step 5: Alloc buffer and start recv
  0.0        0.010        0.010           1           0         10 Step 6: Alloc, pack, and send buffers
  0.0        0.007        0.007           1           0          7 MPI_File_seek()
  0.0        0.007        0.007           1           0          7 MPI_Type_free_keyval()
  0.0        0.003        0.003           1           0          3 MPI_Get_count() 
  0.0        0.003        0.003           1           0          3 MPI_Status_set_elements()
  0.0        0.002        0.002           1           0          2 MPI_Comm_rank() 
  0.0            0            0           1           0          0 MPI_Comm_size() 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0        13991        84332           1      100201   84331886 .TAU application
 52.0        0.983        43845           1          50   43845316 Driver_Main
 52.0         2782        43842          10      139808    4384186 MultiStage_Step
 31.5        20507        26566       11360      297280       2339 Task_SendBoundaryBuffers_MeshBlockData
 27.7         4399        23336           2       17661   11668194 Mesh::Initialize
 15.0        0.320        12687          12          13    1057238 LoadBalancingAndAdaptiveMeshRefinement
 15.0         10.4        12684           1         913   12684156 RedistributeAndRefineMeshBlocks
  9.9         6277         8354           1       80360    8354359 Step 7: Construct new MeshBlockList
  9.9         3926         8312        9040      220160        920 Task_SetBoundaries_MeshBlockData
