Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      1152082     44556705          32 3.09658E+06 1392397046 .TAU application
 80.4         1229     35843158          32      127663 1120098694 Driver_Main
 77.4       126687     34482735         288 9.12834E+06  119731719 Mesh::Initialize
  0.0         6489         6489       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 28] [device=0]
  0.0         6487         6487       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 54] [device=0]
  0.0         6486         6486       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 43] [device=0]
  0.0         6486         6486       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 55] [device=0]
  0.0         6485         6485       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 38] [device=0]
  0.0         6484         6484       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 47] [device=0]
  0.0         6482         6482       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 26] [device=0]
  0.0         6482         6482       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 33] [device=0]
  0.0         6481         6481       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 25] [device=0]
  0.0         6480         6480       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [recv buf 42] [device=0]
  0.0         6480         6480       21141           0        307 Kokkos::parallel_for Kokkos::View::initialization [send buf 47] [device=0]
  0.0         6480         6480       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 39] [device=0]
  0.0         6479         6479       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 53] [device=0]
  0.0         6479         6479       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 43] [device=0]
  0.0         6479         6479       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 55] [device=0]
  0.0         6478         6478       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 24] [device=0]
  0.0         6478         6478       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 39] [device=0]
  0.0         6477         6477       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 50] [device=0]
  0.0         6477         6477       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 38] [device=0]
  0.0         6476         6476       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 25] [device=0]
  0.0         6476         6476       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 45] [device=0]
  0.0         6475         6475       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 32] [device=0]
  0.0         6475         6475       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 24] [device=0]
  0.0         6474         6474       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 44] [device=0]
  0.0         6474         6474       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 46] [device=0]
  0.0         6473         6473       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 30] [device=0]
  0.0         6473         6473       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 48] [device=0]
  0.0         6473         6473       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 41] [device=0]
  0.0         6472         6472       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [recv buf 37] [device=0]
  0.0         6472         6472       21141           0        306 Kokkos::parallel_for Kokkos::View::initialization [send buf 28] [device=0]
